id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
15,4,3,First class or standard?,Первый класс или стандарт?,¿Primera clase o estándar?,pervyy klass ili standart,primera klase o estandar,фёрст класс ор стэндард,примера класе о эстандар,first klass or standart,pervii klass ili standart,NPC
16,4,4,Standard is fine.,Стандарт подойдёт.,Estándar está bien.,standart podoydyot,estandar esta bien,стэндард из файн,эстандар эста бьен,standart iz fain,standart podoidiot,User
17,5,1,Hello! Interested in a city tour?,Здравствуйте! Интересует экскурсия по городу?,¡Hola! ¿Le interesa un tour por la ciudad?,zdravstvuite interesuet ekskursiya po gorodu,ola le interesa un tour por la siudad,хэллоу интерестед ин э сити тур,ола ле интереса ун тур пор ла сьюдад,jellou interested in a siti tur,zdravstvuite interesuet ekskursiia po gorodu,NPC
18,5,2,"Yes, for two people tomorrow.","Да, на двоих завтра.","Sí, para dos personas mañana.",da na dvoikh zavtra,si para dos personas maniana,йес фор ту пипл туморроу,си пара дос персонас маньана,ies for tu pipl tumorrou,da na dvoij zavtra,User
19,5,3,We have a 10 AM and a 2 PM tour.,У нас есть тур в 10 утра и в 2 дня.,Tenemos tour a las 10 AM y a las 2 PM.,u nas est tur v 10 utra i v 2 dnya,tenemos tour a las 10 am i a las 2 pm,уи хэв э тен эйэм энд э ту пиэм тур,тенемос тур а лас 10 ам и а лас 2 пм,ui jev a ten eiem and a tu piem tur,u nas est tur v 10 utra i v 2 dnia,NPC
20,5,4,10 AM works. How much?,10 утра подойдёт. Сколько стоит?,Las 10 AM está bien. ¿Cuánto cuesta?,10 utra podoydyot skolko stoit,las 10 am esta bien kuanto kuesta,тен эйэм уоркс хау мач,лас 10 ам эста бьен куанто куэста,ten eiem uorks jau mach,10 utra podoidiot skolko stoit,User
21,6,1,Welcome to Gate 12. May I see your boarding pass?,Добро пожаловать к выходу 12. Можно ваш посадочный?,Bienvenido a la puerta 12. ¿Puedo ver su tarjeta de embarque?,dobro pozhalovat k vykhodu 12 mozhno vash posadochnyy,bienbenido a la puerta 12 puedo ber su tarjeta de embarke,уэлком ту гейт туэлв мэй ай си ёр бординг пас,бьенвенидо а ла пуэрта 12 пуэдо вер су тархета де эмбарке,uelkom tu geit tuelv mei ai si ior boarding pas,dobro pozhalovat k vijodu 12 mojno vash posadochnii,NPC
22,6,2,Here it is. Any delay?,Вот он. Есть задержка?,Aquí está. ¿Hay retraso?,vot on est zaderzhka,aki esta ai retraso,хир ит из эни дилей,аки эста ай ретрасо,jir it iz eni dilei,vot on est zaderjka,User
23,6,3,On time. Boarding starts in 20 minutes.,По расписанию. Посадка через 20 минут.,A tiempo. Embarque comienza en 20 minutos.,po raspisaniyu posadka cherez 20 minut,a tiempo embarke komiensa en 20 minutos,он тайм бординг стартс ин туэнти минтс,а тьемпо эмбарке комьенса эн 20 минутос,on taim boarding starts in tuenti mints,po raspisaniiu posadka cherez 20 minut,NPC
24,6,4,Thank you.,Спасибо.,Gracias.,spasibo,grasias,сенк ю,грасиас,zank iu,spasibo,User
25,7,1,"Travel Agency, how may I help?","Туристическое агентство, чем помочь?","Agencia de viajes, ¿en qué puedo ayudarle?",turisticheskoe agentstvo chem pomoch,ajensia de biajes en ke puedo ayudarle,трэвел эйдженси хау мэй ай хелп,ахенсия де вьяжес эн ке пуэдо аюдарле,travel eidjensi jau mei ai jelp,turisticheskoe agentstvo chem pomoch,NPC
26,7,2,I need to change my hotel dates.,Мне нужно изменить даты в отеле.,Necesito cambiar las fechas del hotel.,mne nuzhen izmenit daty v otele,nesesito kambiar las fechas del otel,ай нид ту чейндж май хотел дэйтс,несесито камбиар лас фечас дель отель,ai nid tu cheinj mai jotel deits,mne nujen izmenit dati v otele,User
27,7,3,Original check-in date?,Исходная дата заезда?,¿Fecha original de entrada?,iskhodnaya data zaezda,fecha orijinal de entrada,ориджинал чек-ин дэйт,феча орихиналь де энтрада,oridjinal chek-in deit,isjodnaia data zaezda,NPC
28,7,4,"Next Monday, now I need Wednesday.","Следующий понедельник, теперь нужна среда.","El próximo lunes, ahora necesito miércoles.",sleduyushchiy ponedelnik teper nuzhna sreda,el proksimo lunes ahora nesesito mierkoles,некст мандэй нау ай нид уэнсдэй,эль проксимо лунес аора несесито мьерколес,nekst mandei nau ai nid uensdei,sleduiushchii ponedelnik teper nujna sreda,User
29,7,5,No problem. Same room type?,Без проблем. Тот же тип номера?,Sin problema. ¿Mismo tipo de habitación?,bez problem tot zhe tip nomera,sin problema mismo tipo de abitasion,ноу проблем сэйм рум тайп,син проблем мисмо типо де абитасьон,nou problem seim rum taip,bez problem tot je tip nomera,NPC
30,7,6,"Yes, and confirm the new dates.","Да, и подтвердите новые даты.","Sí, y confirme las nuevas fechas.",da i podtverdite novye daty,si i konfirme las nuebas fechas,йес энд конфирм зэ нью дэйтс,си и конфирме лас нуэбас фечас,ies and konfirm de niu deits,da i podtverdite novie dati,User
31,8,1,Consulate office. How can I assist?,Консульство. Чем могу помочь?,Oficina consular. ¿En qué puedo ayudarle?,konsulstvo chem mogu pomoch,ofisina konsular en ke puedo ayudarle,консэлейт офис хау кэн ай эссист,офисина консульяр эн ке пуэдо аюдарле,konseleit ofis jau ken ai asist,konsulstvo chem mogu pomoch,NPC
32,8,2,Do I need a visa for Japan?,Нужна ли виза в Японию?,¿Necesito visa para Japón?,nuzhna li viza v yaponiyu,nesesito bisa para japon,ду ай нид э виза фор джэпэн,несесито виса пара хапон,du ai nid a viza for djepen,nujna li viza v iaponiiu,User
33,8,3,What’s your nationality?,Какое у вас гражданство?,¿Cuál es su nacionalidad?,kakoe u vas grazhdanstvo,kual es su nasionalidad,уотс ёр нэшнэлити,куаль эс су насьоналидад,uots ior neshneliti,kakoe u vas grajdanstvo,NPC
34,8,4,I’m from Canada.,Я из Канады.,Soy de Canadá.,ia iz kanady,soi de kanada,айм фром кэнэда,сой де канада,aim from kenada,ia iz kanadi,User
35,8,5,Canadians get 90 days visa-free.,Канадцы получают 90 дней без визы.,Los canadienses tienen 90 días sin visa.,kanadtsy poluchayut 90 dney bez vizy,los kanadienses tienen 90 dias sin bisa,кэнэдиэнз гет найнти дэйз виза-фри,лос канадиенсес тьенен 90 диас син виса,kenedienz get nainti deiz viza-fri,kanadtsi poluchaiut 90 dnei bez vizi,NPC
36,8,6,Great! Thank you for the info.,Отлично! Спасибо за информацию.,¡Genial! Gracias por la información.,otlichno spasibo za informatsiyu,jenial grasias por la informasion,грейт сенк ю фор зэ инфо,хениаль грасиас пор ла информасьон,greit zank iu for de info,otlichno spasibo za informatsiiu,User
37,9,1,"Cruise Line, this is Mia. How may I help?","Круизная линия, это Мия. Чем помочь?","Línea de cruceros, habla Mia. ¿En qué puedo ayudarle?",kruiznaya liniya eto miya chem pomoch,linea de kruseros abla mia en ke puedo ayudarle,круз лайн зис из миа хау мэй ай хелп,линеа де крусерос абла миа эн ке пуэдо аюдарле,kruz lain dis iz mia jau mei ai jelp,kruiznaia liniia eto miia chem pomoch,NPC
38,9,2,Tell me about your Mediterranean cruise.,Расскажите о круизе по Средиземноморью.,Cuénteme sobre su crucero por el Mediterráneo.,rasskazhite o kruize po sredizemnomoryu,kuenteme sobre su krusero por el mediteraneo,тел ми эбаут ёр медитэррэниэн круз,куэнтеме собре су крусеро пор эль медитерранео,tel mi ebaut ior mediterreinian kruz,rasskajite o kruize po sredizemnomoriu,User
39,9,3,"It’s 7 nights, visits 5 ports, all meals included.","7 ночей, 5 портов, все питание включено.","Son 7 noches, 5 puertos, todas las comidas incluidas.",7 nochey 5 portov vse pitanie vklyucheno,son 7 noches 5 puertos todas las komidas inkluidas,итс сэвн найтс визитс файв портс ол милз инклудед,сон 7 ночес 5 пуэртос тодас лас комидас инклюидас,its sevn naits vizits faiv ports ol milz inkluded,7 nochei 5 portov vse pitanie vklucheno,NPC
40,9,4,What’s the price per person?,Сколько стоит на человека?,¿Cuál es el precio por persona?,skolko stoit na cheloveka,kual es el presio por persona,уотс зэ прайс пер персн,куаль эс эль пресьо пор персона,uots de prais per persn,skolko stoit na cheloveka,User
41,9,5,"Starting at $899, balcony cabin.","От 899 долларов, каюта с балконом.","Desde $899, camarote con balcón.",ot 899 dollarov kayuta s balkonom,desde 899 kamarote kon balkon,стартинг эт эйт найнти найн балкони кэбин,десде 899 камароте кон балкон,starting et eit nainti nain balkoni kebin,ot 899 dollarov kaiuta s balkonom,NPC
42,9,6,Sounds good. I’ll think about it.,Звучит неплохо. Подумаю.,Suena bien. Lo pensaré.,zvuchit neplokho podumayu,suena bien lo pensare,саундз гуд айл синк эбаут ит,суэна бьен ло пенсаре,saunds gud ail sink ebaut it,svuchit neploho podumaiu,User
43,10,1,Insurance desk. Do you need coverage?,Стойка страхования. Нужна страховка?,Mostrador de seguros. ¿Necesita cobertura?,stoyka strakhovaniya nuzhna strakhovka,mostrador de seguros nesesita koberatura,иншуранс дэск ду ю нид коверэдж,мострадор де сегурос несесита кобертура,inshurans desk du iu nid koveridj,stoika strajovaniia nujna strajovka,NPC
44,10,2,"Yes, for a two-week trip to Thailand.","Да, на двухнедельную поездку в Таиланд.","Sí, para un viaje de dos semanas a Tailandia.",da na dvukhnedelnuyu poezdku v tayland,si para un biaje de dos semanas a tailandia,йес фор э ту-уик трип ту тайлэнд,си пара ун вьяже де дос семанас а тайландиа,ies for a tu-uik trip tu tailand,da na dvujnedelnuiu poezdku v tailand,User
45,10,3,Medical and cancellation coverage?,Медицинская и отмена поездки?,¿Cobertura médica y de cancelación?,meditsinskaya i otmena poezdki,koberatura medika i de kanselasion,медикал энд кэнселэйшн коверэдж,кобертура медика и де канселясьон,medikal and kenseleishn koveridj,meditsinskaia i otmena poezdki,NPC
46,10,4,"Both, please.","Обе, пожалуйста.","Ambas, por favor.",obe pozhaluysta,ambas por fabor,боус плиз,амбас пор фавор,bous pliz,obe pozhaluista,User
47,10,5,That’ll be $65 total.,Итого 65 долларов.,Serán $65 en total.,itogo 65 dollarov,seran 65 en total,зэтл би сиксти файв тотал,серан 65 эн тоталь,datl bi siksti faiv total,itogo 65 dollarov,NPC
48,10,6,I’ll take it. Thanks!,Беру. Спасибо!,Lo tomo. ¡Gracias!,beru spasibo,lo tomo grasias,айл тэйк ит сенкс,ло томо грасиас,ail teik it zenks,beru spasibo,User
